date,Artibonite,Centre,Grande_Anse,Nippes,Nord,Nord-Est,Nord-Ouest,Ouest,Sud,Sud-Est
2017-11-11,4.1864277559481,4.88835762648694,17.7361985413595,1.96571023907214,12.9394708731329,4.36558643759045,7.73594707069855,2.97405521268498,12.4547674509581,1.5789775747025
2017-11-12,4.8362911516334,3.41403404790068,26.1558503743346,18.9297673757396,20.5572870156308,10.713382547057,15.533553896275,13.3921660811633,19.9297025019635,2.25354025898769
2017-11-13,14.1527018920407,4.97233928254912,2.76557501988339,0.633362039060719,33.0847122734213,21.360789074225,20.6841563024771,1.15278392691191,0.920632629770434,0.0125454609815396
2017-11-14,16.7482843082061,2.19481553523595,48.4045067006288,29.3694715214261,14.9418158224362,8.19111200518872,29.0634347183614,3.64186660316678,52.9811077015358,4.67840378662357
2017-11-15,27.9336356047486,18.9463484460216,36.7323569499356,52.3748204638394,26.9454591768808,14.239318047027,40.3550736705614,36.1016109048258,37.8787775332262,49.8027264964526
2017-11-16,7.40452954498691,3.46077491406371,9.89653990048028,15.5558529200348,3.16971226830401,1.99678082148856,11.7192303755536,22.7325310377909,9.6917054828531,44.6100941226458
2017-11-17,3.17802845359262,2.64348827383289,0.930305270381866,5.76406855201002,1.3109811443283,7.27865206471731,4.5446365915717,10.7743157768314,1.95590442021461,19.5040043413814
2017-11-18,0.00558003706887396,0.0450790397006147,0.586225784147348,1.10012913360155,0.000532273911869546,0.176969356727723,0,1.25266933964293,0.0421836661550672,3.43992438814745
2017-11-19,0.0397579899036966,0.00682402993170692,0.855705450923703,1.06023382909164,0.0056815956157488,0.0941729933781642,0.00117740992811641,0.589353195170139,0.494135195913764,4.32719589061664
2017-11-20,0.718302033927249,3.01235008357468,3.84873664865707,1.03389472409722,0.100825591917074,0.314072901784194,0.00903771043325467,2.52470742880432,2.44444308813517,3.58496545158967
2017-11-21,1.68488853289158,2.29457262871682,14.2500730102304,1.73364500732508,3.85030498975752,5.56413803562703,2.57207970192842,0.79442364184657,8.81680592331004,0.347454099293025
2017-11-22,0.00179601098853499,0.349014829895022,0.66494314139514,0.00211624338144984,0.0377288459874471,0.359080471649257,0.0103642106210049,0.00320995205732639,0.0349775746166571,0.00460941085758846
2017-11-23,0.260887220293306,0.00951662530914998,4.45081274265301,1.69686496801718,0.332868306863102,0.00981544607328416,3.56856464667305,0.543718109846961,10.6031001628663,1.22975475147152
2017-11-24,0.392160957271125,0.0788635730400224,1.67397338117556,0.242417348169586,0.447042065570898,0.578716670539137,4.20744125220157,0.0151933883381006,0.473990281061327,0.00441593909439486
2017-11-25,0.178803547495056,1.13562502967076,1.56300397472682,0.0906999778369595,0.288538082239965,2.37339426308267,1.42730196962924,1.5095922253197,0.0781282972665907,1.24706583042383
2017-11-26,0.0827315613953519,1.16577165127429,0.0676527998700247,3.63268427100014e-05,0.0581681065749712,0.583796468743956,0.120299355203883,0,0.382529911324074,0
2017-11-27,0,0.158160900080379,0,0,0,0.013318818688063,0.000253601243429629,0.000662117979073444,0,0
2017-11-28,0.0993307351471491,0,0.175602033471675,0.000434832613870167,0.0941763495642163,0.229216938808258,0.627477840397518,0,0,2.62345460485967e-05
2017-11-29,0.0559501505245127,0,0,0,6.46303158916136e-05,0.00663117500908541,0,0.000890308000730264,0,0.0992739402998591
2017-11-30,0,0,0,0,0,0,0,0,0,0
2017-12-01,0,0,0.00597531970645188,0,0,0,0.42441695276786,0.139599487816148,0,0.0657947883377415
2017-12-02,0.109400958227231,0.0490594161633333,0.101957853866244,0.0378926579072596,2.08058067088448,5.28625808168577,0.276265736305845,0.00079999790884399,0.0153373026917768,0.0385545588360807
2017-12-03,0,0,0,0,0.00228548640734892,0,0.0326184595248667,0,0,0
2017-12-04,0.000347026603435353,0,0,0,0.666712181546499,0,7.36714828908262,0,0,0
2017-12-05,0,0,0.186756080776236,0,0,0.0102715395264525,5.63558304736387e-05,0.157961596898964,8.82086523538637e-05,0.0298953630324632
