loglik,loglik.se,betaB,mu_B,XthetaA,thetaI,lambdaR,r,std_W,epsilon,foi_add,k,sigma,gammaI,gammaA,rhoA,XrhoI,Rtot_0,H,D,mu,alpha,cases_ext,t_vacc_start,t_vacc_end,p1d_reg,r_v_year,cas_def
-1403.3693146125156,0.001676004923527077,4.940635385264536,431.06959502779137,0.07105282034594224,7.420539358954716e-4,0.092534340055922,2.0198116917750935,0.0013328236791605606,0.0747768591590367,0.06502746944198823,1.6091791153283388,0.25,182.62499999999997,182.62499999999997,0.1250856164383562,1,0.35,1727523.9999999998,353,0.01586625546,1.461,1,0,0,0,0,1
-1355.5972650073231,0.14904854491113273,0.025566226588227194,36.15516160473992,0.30736894110020685,0.6021440007166017,26.482874979121164,0.04667585029838897,0.11635932284555799,0.36715028211091166,1.6868037660812976e-4,303.1188749842115,0.25,182.62500000000014,182.62500000000014,0.1250856164383562,1,0.35,1727524,353.00000000000006,0.01586625546,1.4610000000000003,1,0,0,0,0,1
-1403.3380971112385,0.0012144672673271499,8.901261622750745,207.94079742046347,0.13772103006520456,1.636719120914117,0.127087224112641,11.222367419735386,0.0010231546689218147,0.07472560719700147,0.01620420302415092,1.6098247855875463,0.25,182.62499999999983,182.62499999999983,0.12508561643835625,1,0.35000000000000003,1727523.9999999998,353,0.01586625546,1.461,1,0,0,0,0,1
-1527.223806755573,0.11841428252720533,0.5247244372407424,9.706342273018317,0.6067152455261983,0.2789431737544852,4.628270845344397,3.055599540315174,0.1634520399354782,0.17375330951304624,6.163344722355976e-4,2997.2255661497957,0.24999999999999994,182.62500000000014,182.62500000000014,0.12508561643835614,1,0.35,1727524.0000000002,353.00000000000006,0.01586625546,1.4610000000000003,1,0,0,0,0,1
-1403.3544028761337,0.0016199356672036882,7.226345392668451,1.3720609971462367,0.15371914946157708,0.6566302489955496,38.71952855975303,3.3559619860786776,0.0015140654177377595,0.07471281578630251,0.025993889036397235,1.603777700451931,0.24999999999999994,182.62500000000014,182.62500000000014,0.12508561643835614,1,0.35,1727524,353,0.015866255460000003,1.461,1,0,0,0,0,1
-1339.0557041526436,0.004948040104778566,5.134447575372194e-4,12.48467779743309,0.6630418288719377,11.032240025275367,0.9233231196293066,0.6592851388330826,2.3680758801966522e-5,0.9702150092231363,7.28204641124763e-5,1.5911611735266766,0.24999999999999994,182.62500000000014,182.62500000000014,0.1250856164383562,1,0.3499999999999999,1727524.0000000002,353.00000000000006,0.01586625546,1.4610000000000003,1,0,0,0,0,1
-1347.1597997795554,0.12454026674996929,0.009243706816791913,18.19536207044104,0.024551478115721753,0.3298482133705982,2.8562422419494915,0.17057437338477505,0.10919123346481993,0.6900252392268791,6.252162664663914e-5,7996.773171764423,0.25000000000000006,182.62499999999983,182.62499999999983,0.12508561643835625,1,0.35000000000000003,1727523.9999999998,353,0.015866255459999996,1.4609999999999999,1,0,0,0,0,1
-1403.3756693782532,0.001778846715303444,11.918142722299065,9.01201477205739,0.23604126389707705,0.013142989788984339,15.80167745053337,2.773130104300754,0.0020927637964356614,0.07465419573626486,4.6145618853509716e-4,1.6110552249915364,0.25,182.62499999999997,182.62499999999997,0.1250856164383562,1,0.35,1727524,353,0.01586625546,1.461,1,0,0,0,0,1
-1403.350727990864,0.001867091685781932,11.570549953311893,157.3342395974399,0.13437022667546986,5.3052431371861575,0.967327055954986,1.5764914047677292,0.0017129532732054792,0.07484529387312482,6.981164297652459e-5,1.6114250840178934,0.25,182.62499999999997,182.62499999999997,0.12508561643835625,1,0.35000000000000003,1727524,353,0.01586625546,1.4609999999999999,1,0,0,0,0,1
-1491.618913399128,0.4925589364418903,0.1036330573402127,21.842559384790214,0.12859137354097303,1.4017534892877845,0.7441592739898999,0.6807081575960219,0.1385635180041596,0.11534399866541474,0.008860639376127757,10.955211255764123,0.25,182.62500000000014,182.62500000000014,0.1250856164383562,1,0.35,1727524,353.00000000000006,0.01586625546,1.4610000000000003,1,0,0,0,0,1
